lineItem/LineItemDescription,lineItem/UsageStartDate,lineItem/UsageEndDate,bill/PayerAccountId,lineItem/UsageAccountId,bill/BillingEntity,lineItem/UnblendedCost,pricing/publicOnDemandCost,lineItem/CurrencyCode,lineItem/ResourceId,product/ProductName,resourceTags/user:Environment
USE1-EBS:VolumeUsage.gp3,2026-06-01T06:00:00Z,2026-06-01T07:00:00Z,123456789012,234567890123,AWS,0.052363,0.069336,USD,arn:aws:elastic-compute-cloud:us-east-1:234567890123:resource/res-00009,Amazon Elastic Compute Cloud,development
Support Fee,2026-06-01T07:00:00Z,2026-06-01T08:00:00Z,123456789012,567890123456,AWS,62.914336,77.373416,USD,arn:aws:support-(business):us-east-1:567890123456:resource/res-00030,AWS Support (Business),development
USE1-DataTransfer-Out-Bytes,2026-06-01T07:00:00Z,2026-06-01T08:00:00Z,123456789012,345678901234,AWS,3.219437,4.011119,USD,arn:aws:elastic-compute-cloud:us-east-1:345678901234:resource/res-00021,Amazon Elastic Compute Cloud,
USE1-EBS:VolumeUsage.gp3,2026-06-01T08:00:00Z,2026-06-01T09:00:00Z,123456789012,456789012345,AWS,2.555362,3.168725,USD,arn:aws:elastic-compute-cloud:us-east-1:456789012345:resource/res-00003,Amazon Elastic Compute Cloud,
USE1-Lambda-GB-Second,2026-06-01T08:00:00Z,2026-06-01T09:00:00Z,123456789012,567890123456,AWS,2.911334,3.311763,USD,arn:aws:lambda:us-east-1:567890123456:resource/res-00017,AWS Lambda,production
USE1-WriteCapacityUnit-Hrs,2026-06-01T08:00:00Z,2026-06-01T09:00:00Z,123456789012,234567890123,AWS,2.699217,3.346852,USD,arn:aws:dynamodb:us-east-1:234567890123:resource/res-00023,Amazon DynamoDB,development
USE1-BackupUsage,2026-06-01T09:00:00Z,2026-06-01T10:00:00Z,123456789012,456789012345,AWS,0.73403,0.860442,USD,arn:aws:relational-database-service:us-east-1:456789012345:resource/res-00021,Amazon Relational Database Service,staging
USE1-WriteCapacityUnit-Hrs,2026-06-01T10:00:00Z,2026-06-01T11:00:00Z,123456789012,234567890123,AWS,0.541489,0.583563,USD,arn:aws:dynamodb:us-east-1:234567890123:resource/res-00002,Amazon DynamoDB,
USE1-Requests-Tier1,2026-06-01T11:00:00Z,2026-06-01T12:00:00Z,123456789012,678901234567,AWS,9.078501,10.060723,USD,arn:aws:simple-storage-service:us-east-1:678901234567:resource/res-00035,Amazon Simple Storage Service,production
USE1-DataTransfer-Out-Bytes,2026-06-01T12:00:00Z,2026-06-01T13:00:00Z,123456789012,234567890123,AWS Marketplace,1.488052,1.853406,USD,arn:aws:cloudfront:us-east-1:234567890123:resource/res-00009,Amazon CloudFront,
USE1-Request,2026-06-01T12:00:00Z,2026-06-01T13:00:00Z,123456789012,234567890123,AWS,0.78264,0.911868,USD,arn:aws:lambda:us-east-1:234567890123:resource/res-00010,AWS Lambda,production
USE1-LCUUsage,2026-06-01T12:00:00Z,2026-06-01T13:00:00Z,123456789012,234567890123,AWS,1.290573,1.461961,USD,arn:aws:elastic-load-balancing:us-east-1:234567890123:resource/res-00019,Amazon Elastic Load Balancing,development
USE1-ReadCapacityUnit-Hrs,2026-06-01T13:00:00Z,2026-06-01T14:00:00Z,123456789012,234567890123,AWS,3.630103,4.782327,USD,arn:aws:dynamodb:us-east-1:234567890123:resource/res-00006,Amazon DynamoDB,staging
USE1-LCUUsage,2026-06-01T13:00:00Z,2026-06-01T14:00:00Z,123456789012,345678901234,AWS,1.897613,2.224148,USD,arn:aws:elastic-load-balancing:us-east-1:345678901234:resource/res-00019,Amazon Elastic Load Balancing,production
USE1-DataTransfer-Out-Bytes,2026-06-01T13:00:00Z,2026-06-01T14:00:00Z,123456789012,345678901234,AWS,1.945955,2.455507,USD,arn:aws:simple-storage-service:us-east-1:345678901234:resource/res-00037,Amazon Simple Storage Service,production
USE1-Request,2026-06-01T14:00:00Z,2026-06-01T15:00:00Z,123456789012,678901234567,AWS,1.184884,1.335753,USD,arn:aws:lambda:us-east-1:678901234567:resource/res-00027,AWS Lambda,production
USE1-BoxUsage:m5.large,2026-06-01T14:00:00Z,2026-06-01T15:00:00Z,123456789012,345678901234,AWS,0.660436,0.668322,USD,arn:aws:elastic-compute-cloud:us-east-1:345678901234:resource/res-00026,Amazon Elastic Compute Cloud,development
USE1-StorageUsage,2026-06-01T14:00:00Z,2026-06-01T15:00:00Z,123456789012,456789012345,AWS,1.065917,1.237029,USD,arn:aws:relational-database-service:us-east-1:456789012345:resource/res-00023,Amazon Relational Database Service,production
USE1-Requests-HTTPS-Proxy,2026-06-01T14:00:00Z,2026-06-01T15:00:00Z,123456789012,456789012345,AWS,1.558294,1.88762,USD,arn:aws:cloudfront:us-east-1:456789012345:resource/res-00024,Amazon CloudFront,qa
USE1-Requests-Tier1,2026-06-01T14:00:00Z,2026-06-01T15:00:00Z,123456789012,345678901234,AWS,2.290434,2.944556,USD,arn:aws:simple-storage-service:us-east-1:345678901234:resource/res-00020,Amazon Simple Storage Service,production
USE1-TimedStorage-ByteHrs,2026-06-01T15:00:00Z,2026-06-01T16:00:00Z,123456789012,678901234567,AWS,11.627986,15.39811,USD,arn:aws:simple-storage-service:us-east-1:678901234567:resource/res-00002,Amazon Simple Storage Service,qa
USE1-DataTransfer-Out-Bytes,2026-06-01T16:00:00Z,2026-06-01T17:00:00Z,123456789012,456789012345,AWS,2.554401,3.444556,USD,arn:aws:elastic-compute-cloud:us-east-1:456789012345:resource/res-00031,Amazon Elastic Compute Cloud,development
USE1-Request,2026-06-01T16:00:00Z,2026-06-01T17:00:00Z,123456789012,234567890123,AWS,1.349443,1.81669,USD,arn:aws:lambda:us-east-1:234567890123:resource/res-00030,AWS Lambda,production
USE1-DataTransfer-Out-Bytes,2026-06-01T18:00:00Z,2026-06-01T19:00:00Z,123456789012,345678901234,AWS,1.276641,1.355835,USD,arn:aws:cloudfront:us-east-1:345678901234:resource/res-00030,Amazon CloudFront,staging
USE1-Request,2026-06-01T19:00:00Z,2026-06-01T20:00:00Z,123456789012,678901234567,AWS,1.350472,1.499763,USD,arn:aws:lambda:us-east-1:678901234567:resource/res-00019,AWS Lambda,qa
USE1-InstanceUsage:db.t3.medium,2026-06-01T20:00:00Z,2026-06-01T21:00:00Z,123456789012,567890123456,AWS,0.423459,0.556331,USD,arn:aws:relational-database-service:us-east-1:567890123456:resource/res-00019,Amazon Relational Database Service,production
USE1-DataTransfer-Out-Bytes,2026-06-01T21:00:00Z,2026-06-01T22:00:00Z,123456789012,567890123456,AWS Marketplace,1.321316,1.327583,USD,arn:aws:simple-storage-service:us-east-1:567890123456:resource/res-00030,Amazon Simple Storage Service,staging
USE1-Request,2026-06-01T21:00:00Z,2026-06-01T22:00:00Z,123456789012,345678901234,AWS,1.972354,2.591422,USD,arn:aws:lambda:us-east-1:345678901234:resource/res-00025,AWS Lambda,staging
USE1-EBS:VolumeUsage.gp3,2026-06-01T22:00:00Z,2026-06-01T23:00:00Z,123456789012,678901234567,AWS,4.436226,5.022731,USD,arn:aws:elastic-compute-cloud:us-east-1:678901234567:resource/res-00016,Amazon Elastic Compute Cloud,qa
Support Fee,2026-06-01T22:00:00Z,2026-06-01T23:00:00Z,123456789012,345678901234,AWS Marketplace,196.300589,219.482423,USD,arn:aws:support-(business):us-east-1:345678901234:resource/res-00026,AWS Support (Business),qa
USE1-Requests-Tier2,2026-06-01T22:00:00Z,2026-06-01T23:00:00Z,123456789012,234567890123,AWS,11.96594,12.794134,USD,arn:aws:simple-storage-service:us-east-1:234567890123:resource/res-00011,Amazon Simple Storage Service,production
USE1-Requests-HTTPS-Proxy,2026-06-01T23:00:00Z,2026-06-02T00:00:00Z,123456789012,678901234567,AWS Marketplace,1.194075,1.207536,USD,arn:aws:cloudfront:us-east-1:678901234567:resource/res-00022,Amazon CloudFront,development
USE1-Requests-HTTPS-Proxy,2026-06-01T23:00:00Z,2026-06-02T00:00:00Z,123456789012,567890123456,AWS,0.700282,0.881658,USD,arn:aws:cloudfront:us-east-1:567890123456:resource/res-00017,Amazon CloudFront,development
USE1-EBS:VolumeUsage.gp3,2026-06-02T00:00:00Z,2026-06-02T01:00:00Z,123456789012,567890123456,AWS,2.674538,3.260807,USD,arn:aws:elastic-compute-cloud:us-east-1:567890123456:resource/res-00024,Amazon Elastic Compute Cloud,production
Support Fee,2026-06-02T00:00:00Z,2026-06-02T01:00:00Z,123456789012,345678901234,AWS,166.13658,185.4251,USD,arn:aws:support-(business):us-east-1:345678901234:resource/res-00011,AWS Support (Business),development
Support Fee,2026-06-02T00:00:00Z,2026-06-02T01:00:00Z,123456789012,567890123456,AWS,302.28046,335.858938,USD,arn:aws:support-(business):us-east-1:567890123456:resource/res-00024,AWS Support (Business),production
USE1-Request,2026-06-02T00:00:00Z,2026-06-02T01:00:00Z,123456789012,678901234567,AWS,2.013207,2.484359,USD,arn:aws:lambda:us-east-1:678901234567:resource/res-00033,AWS Lambda,production
USE1-InstanceUsage:db.t3.medium,2026-06-02T01:00:00Z,2026-06-02T02:00:00Z,123456789012,345678901234,AWS,4.908238,5.926849,USD,arn:aws:relational-database-service:us-east-1:345678901234:resource/res-00023,Amazon Relational Database Service,
USE1-Request,2026-06-02T01:00:00Z,2026-06-02T02:00:00Z,123456789012,345678901234,AWS,0.147979,0.19894,USD,arn:aws:lambda:us-east-1:345678901234:resource/res-00002,AWS Lambda,qa
USE1-Request,2026-06-02T02:00:00Z,2026-06-02T03:00:00Z,123456789012,345678901234,AWS,1.1497,1.426605,USD,arn:aws:lambda:us-east-1:345678901234:resource/res-00012,AWS Lambda,
USE1-Requests-HTTPS-Proxy,2026-06-02T02:00:00Z,2026-06-02T03:00:00Z,123456789012,234567890123,AWS,0.699664,0.91732,USD,arn:aws:cloudfront:us-east-1:234567890123:resource/res-00034,Amazon CloudFront,qa
USE1-Request,2026-06-02T02:00:00Z,2026-06-02T03:00:00Z,123456789012,567890123456,AWS,1.182593,1.299248,USD,arn:aws:lambda:us-east-1:567890123456:resource/res-00023,AWS Lambda,qa
USE1-LCUUsage,2026-06-02T02:00:00Z,2026-06-02T03:00:00Z,123456789012,345678901234,AWS,1.15557,1.507039,USD,arn:aws:elastic-load-balancing:us-east-1:345678901234:resource/res-00023,Amazon Elastic Load Balancing,staging
USE1-DataTransfer-Out-Bytes,2026-06-02T02:00:00Z,2026-06-02T03:00:00Z,123456789012,678901234567,AWS,1.951019,2.344206,USD,arn:aws:cloudfront:us-east-1:678901234567:resource/res-00003,Amazon CloudFront,staging
USE1-DataTransfer-Out-Bytes,2026-06-02T02:00:00Z,2026-06-02T03:00:00Z,123456789012,234567890123,AWS,1.546239,1.816313,USD,arn:aws:cloudfront:us-east-1:234567890123:resource/res-00005,Amazon CloudFront,development
USE1-Requests-HTTPS-Proxy,2026-06-02T04:00:00Z,2026-06-02T05:00:00Z,123456789012,567890123456,AWS,1.662572,1.745283,USD,arn:aws:cloudfront:us-east-1:567890123456:resource/res-00027,Amazon CloudFront,development
USE1-TimedStorage-ByteHrs,2026-06-02T05:00:00Z,2026-06-02T06:00:00Z,123456789012,456789012345,AWS,7.355433,9.191781,USD,arn:aws:simple-storage-service:us-east-1:456789012345:resource/res-00040,Amazon Simple Storage Service,staging
USE1-BackupUsage,2026-06-02T05:00:00Z,2026-06-02T06:00:00Z,123456789012,567890123456,AWS,5.027371,6.581251,USD,arn:aws:relational-database-service:us-east-1:567890123456:resource/res-00009,Amazon Relational Database Service,production
USE1-DataTransfer-Out-Bytes,2026-06-02T05:00:00Z,2026-06-02T06:00:00Z,123456789012,456789012345,AWS,0.828264,1.031971,USD,arn:aws:elastic-compute-cloud:us-east-1:456789012345:resource/res-00005,Amazon Elastic Compute Cloud,production
USE1-Requests-Tier1,2026-06-02T06:00:00Z,2026-06-02T07:00:00Z,123456789012,678901234567,AWS,6.431914,7.598009,USD,arn:aws:simple-storage-service:us-east-1:678901234567:resource/res-00037,Amazon Simple Storage Service,development
USE1-StorageUsage,2026-06-02T06:00:00Z,2026-06-02T07:00:00Z,123456789012,345678901234,AWS,5.216686,6.823666,USD,arn:aws:relational-database-service:us-east-1:345678901234:resource/res-00019,Amazon Relational Database Service,qa
USE1-LCUUsage,2026-06-02T06:00:00Z,2026-06-02T07:00:00Z,123456789012,678901234567,AWS Marketplace,0.730689,0.878382,USD,arn:aws:elastic-load-balancing:us-east-1:678901234567:resource/res-00021,Amazon Elastic Load Balancing,production
USE1-LCUUsage,2026-06-02T07:00:00Z,2026-06-02T08:00:00Z,123456789012,678901234567,AWS,0.329785,0.334934,USD,arn:aws:elastic-load-balancing:us-east-1:678901234567:resource/res-00028,Amazon Elastic Load Balancing,production
USE1-InstanceUsage:db.r5.large,2026-06-02T08:00:00Z,2026-06-02T09:00:00Z,123456789012,678901234567,AWS,5.496005,6.145672,USD,arn:aws:relational-database-service:us-east-1:678901234567:resource/res-00023,Amazon Relational Database Service,
USE1-BoxUsage:t3.medium,2026-06-02T08:00:00Z,2026-06-02T09:00:00Z,123456789012,567890123456,AWS,1.306166,1.388446,USD,arn:aws:elastic-compute-cloud:us-east-1:567890123456:resource/res-00003,Amazon Elastic Compute Cloud,qa
USE1-Lambda-GB-Second,2026-06-02T08:00:00Z,2026-06-02T09:00:00Z,123456789012,456789012345,AWS,2.95015,3.48401,USD,arn:aws:lambda:us-east-1:456789012345:resource/res-00038,AWS Lambda,qa
USE1-TimedStorage-ByteHrs,2026-06-02T10:00:00Z,2026-06-02T11:00:00Z,123456789012,678901234567,AWS,5.357846,6.618056,USD,arn:aws:simple-storage-service:us-east-1:678901234567:resource/res-00009,Amazon Simple Storage Service,production
USE1-InstanceUsage:db.t3.medium,2026-06-02T10:00:00Z,2026-06-02T11:00:00Z,123456789012,678901234567,AWS,5.713712,5.862358,USD,arn:aws:relational-database-service:us-east-1:678901234567:resource/res-00007,Amazon Relational Database Service,production
USE1-TimedStorage-ByteHrs,2026-06-02T12:00:00Z,2026-06-02T13:00:00Z,123456789012,345678901234,AWS,5.280933,6.571697,USD,arn:aws:dynamodb:us-east-1:345678901234:resource/res-00030,Amazon DynamoDB,production
USE1-DataTransfer-Out-Bytes,2026-06-02T12:00:00Z,2026-06-02T13:00:00Z,123456789012,234567890123,AWS,1.04537,1.127783,USD,arn:aws:cloudfront:us-east-1:234567890123:resource/res-00028,Amazon CloudFront,staging
Support Fee,2026-06-02T13:00:00Z,2026-06-02T14:00:00Z,123456789012,456789012345,AWS,266.118912,283.918595,USD,arn:aws:support-(business):us-east-1:456789012345:resource/res-00003,AWS Support (Business),development
Support Fee,2026-06-02T13:00:00Z,2026-06-02T14:00:00Z,123456789012,567890123456,AWS,52.923732,70.805272,USD,arn:aws:support-(business):us-east-1:567890123456:resource/res-00005,AWS Support (Business),qa
USE1-InstanceUsage:db.t3.medium,2026-06-02T13:00:00Z,2026-06-02T14:00:00Z,123456789012,567890123456,AWS,2.030737,2.061873,USD,arn:aws:relational-database-service:us-east-1:567890123456:resource/res-00006,Amazon Relational Database Service,development
USE1-LoadBalancerUsage,2026-06-02T13:00:00Z,2026-06-02T14:00:00Z,123456789012,567890123456,AWS,1.836206,2.144822,USD,arn:aws:elastic-load-balancing:us-east-1:567890123456:resource/res-00040,Amazon Elastic Load Balancing,production
USE1-DataTransfer-Out-Bytes,2026-06-02T14:00:00Z,2026-06-02T15:00:00Z,123456789012,456789012345,AWS,2.084874,2.714879,USD,arn:aws:elastic-compute-cloud:us-east-1:456789012345:resource/res-00016,Amazon Elastic Compute Cloud,development
USE1-DataTransfer-Out-Bytes,2026-06-02T14:00:00Z,2026-06-02T15:00:00Z,123456789012,567890123456,AWS,0.194089,0.209891,USD,arn:aws:cloudfront:us-east-1:567890123456:resource/res-00012,Amazon CloudFront,production
USE1-LoadBalancerUsage,2026-06-02T15:00:00Z,2026-06-02T16:00:00Z,123456789012,678901234567,AWS,1.778998,2.332056,USD,arn:aws:elastic-load-balancing:us-east-1:678901234567:resource/res-00030,Amazon Elastic Load Balancing,development
USE1-Requests-Tier2,2026-06-02T15:00:00Z,2026-06-02T16:00:00Z,123456789012,567890123456,AWS,6.54143,8.713098,USD,arn:aws:simple-storage-service:us-east-1:567890123456:resource/res-00032,Amazon Simple Storage Service,
USE1-WriteCapacityUnit-Hrs,2026-06-02T16:00:00Z,2026-06-02T17:00:00Z,123456789012,345678901234,AWS Marketplace,0.838461,0.93314,USD,arn:aws:dynamodb:us-east-1:345678901234:resource/res-00014,Amazon DynamoDB,
USE1-InstanceUsage:db.r5.large,2026-06-02T16:00:00Z,2026-06-02T17:00:00Z,123456789012,678901234567,AWS Marketplace,6.062884,6.374533,USD,arn:aws:relational-database-service:us-east-1:678901234567:resource/res-00012,Amazon Relational Database Service,
USE1-LoadBalancerUsage,2026-06-02T17:00:00Z,2026-06-02T18:00:00Z,123456789012,678901234567,AWS,0.279404,0.356762,USD,arn:aws:elastic-load-balancing:us-east-1:678901234567:resource/res-00012,Amazon Elastic Load Balancing,staging
USE1-Lambda-GB-Second,2026-06-02T17:00:00Z,2026-06-02T18:00:00Z,123456789012,678901234567,AWS,0.145066,0.152024,USD,arn:aws:lambda:us-east-1:678901234567:resource/res-00007,AWS Lambda,qa
USE1-EBS:VolumeUsage.gp3,2026-06-02T17:00:00Z,2026-06-02T18:00:00Z,123456789012,234567890123,AWS,4.460905,5.606094,USD,arn:aws:elastic-compute-cloud:us-east-1:234567890123:resource/res-00011,Amazon Elastic Compute Cloud,qa
USE1-BoxUsage:c5.xlarge,2026-06-02T17:00:00Z,2026-06-02T18:00:00Z,123456789012,678901234567,AWS,3.438728,3.64958,USD,arn:aws:elastic-compute-cloud:us-east-1:678901234567:resource/res-00004,Amazon Elastic Compute Cloud,development
USE1-Lambda-GB-Second,2026-06-02T17:00:00Z,2026-06-02T18:00:00Z,123456789012,345678901234,AWS,3.13401,3.425527,USD,arn:aws:lambda:us-east-1:345678901234:resource/res-00033,AWS Lambda,production
USE1-Requests-HTTPS-Proxy,2026-06-02T18:00:00Z,2026-06-02T19:00:00Z,123456789012,678901234567,AWS,1.597209,1.843943,USD,arn:aws:cloudfront:us-east-1:678901234567:resource/res-00008,Amazon CloudFront,staging
Support Fee,2026-06-02T18:00:00Z,2026-06-02T19:00:00Z,123456789012,678901234567,AWS,43.103869,51.119149,USD,arn:aws:support-(business):us-east-1:678901234567:resource/res-00020,AWS Support (Business),
USE1-StorageUsage,2026-06-02T18:00:00Z,2026-06-02T19:00:00Z,123456789012,678901234567,AWS,5.620345,5.676159,USD,arn:aws:relational-database-service:us-east-1:678901234567:resource/res-00004,Amazon Relational Database Service,
USE1-LCUUsage,2026-06-02T19:00:00Z,2026-06-02T20:00:00Z,123456789012,567890123456,AWS,1.389143,1.832366,USD,arn:aws:elastic-load-balancing:us-east-1:567890123456:resource/res-00012,Amazon Elastic Load Balancing,production
USE1-InstanceUsage:db.t3.medium,2026-06-02T20:00:00Z,2026-06-02T21:00:00Z,123456789012,567890123456,AWS,1.667943,2.176147,USD,arn:aws:relational-database-service:us-east-1:567890123456:resource/res-00023,Amazon Relational Database Service,development
USE1-StorageUsage,2026-06-02T20:00:00Z,2026-06-02T21:00:00Z,123456789012,234567890123,AWS,6.268602,8.23726,USD,arn:aws:relational-database-service:us-east-1:234567890123:resource/res-00005,Amazon Relational Database Service,development
USE1-TimedStorage-ByteHrs,2026-06-02T20:00:00Z,2026-06-02T21:00:00Z,123456789012,567890123456,AWS,0.57283,0.583347,USD,arn:aws:dynamodb:us-east-1:567890123456:resource/res-00025,Amazon DynamoDB,production
USE1-LoadBalancerUsage,2026-06-02T20:00:00Z,2026-06-02T21:00:00Z,123456789012,456789012345,AWS,0.153883,0.189839,USD,arn:aws:elastic-load-balancing:us-east-1:456789012345:resource/res-00013,Amazon Elastic Load Balancing,
USE1-LoadBalancerUsage,2026-06-02T21:00:00Z,2026-06-02T22:00:00Z,123456789012,567890123456,AWS,1.758279,1.901968,USD,arn:aws:elastic-load-balancing:us-east-1:567890123456:resource/res-00018,Amazon Elastic Load Balancing,production
USE1-ReadCapacityUnit-Hrs,2026-06-02T21:00:00Z,2026-06-02T22:00:00Z,123456789012,456789012345,AWS,4.376902,4.553203,USD,arn:aws:dynamodb:us-east-1:456789012345:resource/res-00007,Amazon DynamoDB,staging
USE1-TimedStorage-ByteHrs,2026-06-02T21:00:00Z,2026-06-02T22:00:00Z,123456789012,456789012345,AWS,8.244941,9.959894,USD,arn:aws:simple-storage-service:us-east-1:456789012345:resource/res-00025,Amazon Simple Storage Service,production
USE1-TimedStorage-ByteHrs,2026-06-02T22:00:00Z,2026-06-02T23:00:00Z,123456789012,234567890123,AWS,4.844168,5.679049,USD,arn:aws:dynamodb:us-east-1:234567890123:resource/res-00008,Amazon DynamoDB,qa
USE1-LCUUsage,2026-06-02T23:00:00Z,2026-06-03T00:00:00Z,123456789012,234567890123,AWS,0.216205,0.275523,USD,arn:aws:elastic-load-balancing:us-east-1:234567890123:resource/res-00013,Amazon Elastic Load Balancing,staging
USE1-ReadCapacityUnit-Hrs,2026-06-02T23:00:00Z,2026-06-03T00:00:00Z,123456789012,567890123456,AWS,5.004517,6.471407,USD,arn:aws:dynamodb:us-east-1:567890123456:resource/res-00015,Amazon DynamoDB,qa
Support Fee,2026-06-03T00:00:00Z,2026-06-03T01:00:00Z,123456789012,456789012345,AWS,71.795552,71.809019,USD,arn:aws:support-(business):us-east-1:456789012345:resource/res-00023,AWS Support (Business),development
Support Fee,2026-06-03T02:00:00Z,2026-06-03T03:00:00Z,123456789012,456789012345,AWS,336.0793,447.696172,USD,arn:aws:support-(business):us-east-1:456789012345:resource/res-00041,AWS Support (Business),qa
USE1-DataTransfer-Out-Bytes,2026-06-03T02:00:00Z,2026-06-03T03:00:00Z,123456789012,567890123456,AWS,0.346291,0.41565,USD,arn:aws:cloudfront:us-east-1:567890123456:resource/res-00014,Amazon CloudFront,staging
USE1-BoxUsage:c5.xlarge,2026-06-03T03:00:00Z,2026-06-03T04:00:00Z,123456789012,234567890123,AWS,2.637116,3.101242,USD,arn:aws:elastic-compute-cloud:us-east-1:234567890123:resource/res-00002,Amazon Elastic Compute Cloud,
Support Fee,2026-06-03T04:00:00Z,2026-06-03T05:00:00Z,123456789012,678901234567,AWS,216.414683,266.345709,USD,arn:aws:support-(business):us-east-1:678901234567:resource/res-00034,AWS Support (Business),staging
USE1-StorageUsage,2026-06-03T06:00:00Z,2026-06-03T07:00:00Z,123456789012,345678901234,AWS,1.890525,2.168111,USD,arn:aws:relational-database-service:us-east-1:345678901234:resource/res-00026,Amazon Relational Database Service,development
Refund - USE1-InstanceUsage:db.t3.medium,2026-06-03T06:00:00Z,2026-06-03T07:00:00Z,123456789012,234567890123,AWS,-5.654609,-5.9764266,USD,arn:aws:relational-database-service:us-east-1:234567890123:resource/res-00012,Amazon Relational Database Service,
USE1-LoadBalancerUsage,2026-06-03T07:00:00Z,2026-06-03T08:00:00Z,123456789012,456789012345,AWS,1.566455,1.851372,USD,arn:aws:elastic-load-balancing:us-east-1:456789012345:resource/res-00018,Amazon Elastic Load Balancing,
USE1-StorageUsage,2026-06-03T07:00:00Z,2026-06-03T08:00:00Z,123456789012,678901234567,AWS,5.786216,7.223255,USD,arn:aws:relational-database-service:us-east-1:678901234567:resource/res-00027,Amazon Relational Database Service,staging
USE1-BoxUsage:t3.medium,2026-06-03T07:00:00Z,2026-06-03T08:00:00Z,123456789012,567890123456,AWS,0.405816,0.461482,USD,arn:aws:elastic-compute-cloud:us-east-1:567890123456:resource/res-00012,Amazon Elastic Compute Cloud,qa
USE1-ReadCapacityUnit-Hrs,2026-06-03T08:00:00Z,2026-06-03T09:00:00Z,123456789012,456789012345,AWS,3.287935,3.512509,USD,arn:aws:dynamodb:us-east-1:456789012345:resource/res-00016,Amazon DynamoDB,development
USE1-InstanceUsage:db.t3.medium,2026-06-03T08:00:00Z,2026-06-03T09:00:00Z,123456789012,567890123456,AWS,2.08493,2.541873,USD,arn:aws:relational-database-service:us-east-1:567890123456:resource/res-00021,Amazon Relational Database Service,
USE1-WriteCapacityUnit-Hrs,2026-06-03T09:00:00Z,2026-06-03T10:00:00Z,123456789012,567890123456,AWS,4.51122,4.983862,USD,arn:aws:dynamodb:us-east-1:567890123456:resource/res-00023,Amazon DynamoDB,
USE1-Request,2026-06-03T09:00:00Z,2026-06-03T10:00:00Z,123456789012,345678901234,AWS,2.39041,2.488495,USD,arn:aws:lambda:us-east-1:345678901234:resource/res-00029,AWS Lambda,production
USE1-ReadCapacityUnit-Hrs,2026-06-03T09:00:00Z,2026-06-03T10:00:00Z,123456789012,345678901234,AWS,1.446454,1.645121,USD,arn:aws:dynamodb:us-east-1:345678901234:resource/res-00018,Amazon DynamoDB,development
