ProductName,Date,BillingPeriodStartDate,BillingPeriodEndDate,BillingProfileId,BillingProfileName,SubscriptionId,SubscriptionName,ResourceId,ResourceType,BillingCurrency,ConsumedService,ChargeType,PricingModel,CostInBillingCurrency,PaygCostInBillingCurrency,Quantity,UnitOfMeasure,UnitPrice,Tags
Azure Support,2026-06-11,2026-06-01,2026-06-30,azure-billing-profile-001,Conta Principal Azure,aaaaaaaa-bbbb-cccc-dddd-000000000001,Produção,,,USD,Microsoft.Support,Purchase,OnDemand,15,15,1,1 Month,15.0,"{""Environment"":""shared"",""Team"":""finops"",""Project"":""focus""}"
Tax,2026-06-12,2026-06-01,2026-06-30,azure-billing-profile-001,Conta Principal Azure,aaaaaaaa-bbbb-cccc-dddd-000000000001,Produção,,,USD,Microsoft.Billing,Tax,OnDemand,9,9,999,ShouldBeCleared,1.0,"{""Environment"":""shared"",""Team"":""finops"",""Project"":""focus""}"
Promotional Credit,2026-06-13,2026-06-01,2026-06-30,azure-billing-profile-001,Conta Principal Azure,aaaaaaaa-bbbb-cccc-dddd-000000000001,Produção,,,USD,Microsoft.Billing,Credit,OnDemand,-12,-12,1,Credit,-12.0,"{""Environment"":""shared"",""Team"":""finops"",""Project"":""focus""}"
Billing Adjustment,2026-06-14,2026-06-01,2026-06-30,azure-billing-profile-001,Conta Principal Azure,aaaaaaaa-bbbb-cccc-dddd-000000000001,Produção,,,USD,Microsoft.Billing,Adjustment,OnDemand,-5,-5,1,Adjustment,-5.0,"{""Environment"":""shared"",""Team"":""finops"",""Project"":""focus""}"
Refund Test,2026-06-15,2026-06-01,2026-06-30,azure-billing-profile-001,Conta Principal Azure,aaaaaaaa-bbbb-cccc-dddd-000000000001,Produção,,,USD,Microsoft.Compute,Refund,OnDemand,-4,-4,1,Refund,-4.0,"{""Environment"":""test"",""Team"":""qa"",""Project"":""validation""}"
Log Analytics,2026-06-17,2026-06-01,2026-06-30,azure-billing-profile-001,Conta Principal Azure,aaaaaaaa-bbbb-cccc-dddd-000000000002,Desenvolvimento,/subscriptions/dev/resourceGroups/rg-dev/providers/Microsoft.OperationalInsights/workspaces/focus,microsoft.operationalinsights/workspaces,USD,Microsoft.OperationalInsights,Usage,OnDemand,3,5,30,1 GB,0.12,"{""Environment"":""dev"",""Team"":""observability"",""Project"":""focus""}"
Shared Platform Cost,2026-06-19,2026-06-01,2026-06-30,azure-billing-profile-001,Conta Principal Azure,aaaaaaaa-bbbb-cccc-dddd-000000000002,Desenvolvimento,,,USD,Microsoft.Compute,Usage,OnDemand,8,11,4,1 Hour,2.25,"{""Environment"":""shared"",""Team"":""platform"",""Project"":""focus""}"
Virtual Machines Batch,2026-06-21,2026-06-01,2026-06-30,azure-billing-profile-001,Conta Principal Azure,aaaaaaaa-bbbb-cccc-dddd-000000000003,Dados,/subscriptions/data/resourceGroups/rg-data/providers/Microsoft.Compute/virtualMachines/vm-batch,microsoft.compute/virtualmachines,USD,Microsoft.Compute,Usage,OnDemand,11,15,6,1 Hour,2.0,"{""Environment"":""prod"",""Team"":""data"",""Project"":""focus""}"
Blob Backup,2026-06-23,2026-06-01,2026-06-30,azure-billing-profile-001,Conta Principal Azure,aaaaaaaa-bbbb-cccc-dddd-000000000003,Dados,/subscriptions/data/resourceGroups/rg-data/providers/Microsoft.Storage/storageAccounts/backup,microsoft.storage/storageaccounts,USD,Microsoft.Storage,Usage,OnDemand,7,10,250,1 GB/Month,0.035,"{""Environment"":""prod"",""Team"":""data"",""Project"":""backup""}"
Azure SQL Staging,2026-06-25,2026-06-01,2026-06-30,azure-billing-profile-001,Conta Principal Azure,aaaaaaaa-bbbb-cccc-dddd-000000000002,Desenvolvimento,/subscriptions/dev/resourceGroups/rg-dev/providers/Microsoft.Sql/servers/sql-staging,microsoft.sql/servers/databases,USD,Microsoft.Sql,Usage,OnDemand,10,14,5,1 Hour,2.2,"{""Environment"":""staging"",""Team"":""backend"",""Project"":""focus""}"
Network Transfer,2026-06-27,2026-06-01,2026-06-30,azure-billing-profile-001,Conta Principal Azure,aaaaaaaa-bbbb-cccc-dddd-000000000001,Produção,/subscriptions/prod/resourceGroups/rg-prod/providers/Microsoft.Network/virtualNetworks/vnet-prod,microsoft.network/virtualnetworks,USD,Microsoft.Network,Usage,OnDemand,6,9,70,1 GB,0.1,"{""Environment"":""prod"",""Team"":""platform"",""Project"":""focus""}"
Functions Batch,2026-06-29,2026-06-01,2026-06-30,azure-billing-profile-001,Conta Principal Azure,aaaaaaaa-bbbb-cccc-dddd-000000000003,Dados,/subscriptions/data/resourceGroups/rg-data/providers/Microsoft.Web/sites/batch-functions,microsoft.web/sites,USD,Microsoft.Web,Usage,OnDemand,5,7,750000,1 Execution,8e-06,"{""Environment"":""prod"",""Team"":""data"",""Project"":""focus""}"
