lineItem/LineItemDescription,lineItem/UsageStartDate,lineItem/UsageEndDate,bill/PayerAccountId,lineItem/UsageAccountId,bill/BillingEntity,lineItem/UnblendedCost,pricing/publicOnDemandCost,lineItem/CurrencyCode,lineItem/ResourceId,product/ProductName,resourceTags/user:Environment
USE1-Request,2026-06-02T21:00:00Z,2026-06-02T22:00:00Z,987654321098,876543210987,AWS,13.182549,16.080206,USD,arn:aws:lambda:us-east-1:876543210987:resource/res-00002-08,AWS Lambda,production
USE1-TimedStorage-ByteHrs,2026-06-02T22:00:00Z,2026-06-02T23:00:00Z,111122223333,444455556666,AWS,22.505175,25.753596,USD,arn:aws:s3:us-east-1:444455556666:resource/res-00002-09,Amazon Simple Storage Service,staging
USE1-InstanceUsage:db.t3.medium,2026-06-02T23:00:00Z,2026-06-03T00:00:00Z,123456789012,234567890123,AWS,17.357469,21.479349,USD,arn:aws:rds:us-east-1:234567890123:resource/res-00002-10,Amazon Relational Database Service,development
USE1-BoxUsage:t3.medium,2026-06-03T01:00:00Z,2026-06-03T02:00:00Z,987654321098,876543210987,AWS,46.598496,55.245301,USD,arn:aws:ec2:us-east-1:876543210987:resource/res-00003-01,Amazon Elastic Compute Cloud,development
USE1-InstanceUsage:db.t3.medium,2026-06-03T03:00:00Z,2026-06-03T04:00:00Z,111122223333,444455556666,AWS,22.350725,27.574535,USD,arn:aws:rds:us-east-1:444455556666:resource/res-00003-02,Amazon Relational Database Service,qa
USE1-ReadRequestUnits,2026-06-03T06:00:00Z,2026-06-03T07:00:00Z,123456789012,234567890123,AWS,14.139634,16.949068,USD,arn:aws:dynamodb:us-east-1:234567890123:resource/res-00003-03,Amazon DynamoDB,production
USE1-InstanceUsage:db.t3.medium,2026-06-03T09:00:00Z,2026-06-03T10:00:00Z,123456789012,345678901234,AWS,23.724602,27.51606,USD,arn:aws:rds:us-east-1:345678901234:resource/res-00003-04,Amazon Relational Database Service,staging
USE1-DataTransfer-Out-Bytes,2026-06-03T13:00:00Z,2026-06-03T14:00:00Z,987654321098,765432109876,AWS,8.853989,10.44922,USD,arn:aws:cloudfront:us-east-1:765432109876:resource/res-00003-05,Amazon CloudFront,development
USE1-LCUUsage,2026-06-03T16:00:00Z,2026-06-03T17:00:00Z,987654321098,876543210987,AWS,9.594403,11.280989,USD,arn:aws:elastic-load-balancing:us-east-1:876543210987:resource/res-00003-06,Amazon Elastic Load Balancing,qa
USE1-Request,2026-06-03T19:00:00Z,2026-06-03T20:00:00Z,111122223333,444455556666,AWS,17.615367,20.24632,USD,arn:aws:lambda:us-east-1:444455556666:resource/res-00003-07,AWS Lambda,production
Support Fee,2026-06-03T21:00:00Z,2026-06-03T22:00:00Z,123456789012,234567890123,AWS,7.837206,9.063105,USD,arn:aws:support:us-east-1:234567890123:resource/res-00003-08,AWS Support (Business),staging
USE1-Request,2026-06-03T22:00:00Z,2026-06-03T23:00:00Z,123456789012,345678901234,AWS,13.668795,16.626575,USD,arn:aws:lambda:us-east-1:345678901234:resource/res-00003-09,AWS Lambda,development
USE1-TimedStorage-ByteHrs,2026-06-03T23:00:00Z,2026-06-04T00:00:00Z,987654321098,765432109876,AWS,25.191747,31.16096,USD,arn:aws:s3:us-east-1:765432109876:resource/res-00003-10,Amazon Simple Storage Service,qa
Support Fee,2026-06-04T01:00:00Z,2026-06-04T02:00:00Z,123456789012,234567890123,AWS,9.557726,10.883389,USD,arn:aws:support:us-east-1:234567890123:resource/res-00004-01,AWS Support (Business),qa
USE1-Request,2026-06-04T03:00:00Z,2026-06-04T04:00:00Z,123456789012,345678901234,AWS,16.175748,18.398306,USD,arn:aws:lambda:us-east-1:345678901234:resource/res-00004-02,AWS Lambda,production
USE1-ReadRequestUnits,2026-06-04T06:00:00Z,2026-06-04T07:00:00Z,987654321098,765432109876,AWS,14.997802,17.722085,USD,arn:aws:dynamodb:us-east-1:765432109876:resource/res-00004-03,Amazon DynamoDB,staging
USE1-BoxUsage:t3.medium,2026-06-04T09:00:00Z,2026-06-04T10:00:00Z,987654321098,876543210987,AWS,44.03021,51.050561,USD,arn:aws:ec2:us-east-1:876543210987:resource/res-00004-04,Amazon Elastic Compute Cloud,development
USE1-ReadRequestUnits,2026-06-04T13:00:00Z,2026-06-04T14:00:00Z,111122223333,444455556666,AWS,14.828529,17.328578,USD,arn:aws:dynamodb:us-east-1:444455556666:resource/res-00004-05,Amazon DynamoDB,qa
USE1-TimedStorage-ByteHrs,2026-06-04T16:00:00Z,2026-06-04T17:00:00Z,123456789012,234567890123,AWS,23.510211,26.624142,USD,arn:aws:s3:us-east-1:234567890123:resource/res-00004-06,Amazon Simple Storage Service,production
USE1-DataTransfer-Out-Bytes,2026-06-04T19:00:00Z,2026-06-04T20:00:00Z,123456789012,345678901234,AWS,11.928739,15.014696,USD,arn:aws:cloudfront:us-east-1:345678901234:resource/res-00004-07,Amazon CloudFront,staging
USE1-Request,2026-06-04T21:00:00Z,2026-06-04T22:00:00Z,987654321098,765432109876,AWS,17.081377,19.713629,USD,arn:aws:lambda:us-east-1:765432109876:resource/res-00004-08,AWS Lambda,development
USE1-InstanceUsage:db.t3.medium,2026-06-04T22:00:00Z,2026-06-04T23:00:00Z,987654321098,876543210987,AWS,26.088047,32.246637,USD,arn:aws:rds:us-east-1:876543210987:resource/res-00004-09,Amazon Relational Database Service,qa
USE1-LCUUsage,2026-06-04T23:00:00Z,2026-06-05T00:00:00Z,111122223333,444455556666,AWS,11.740652,13.879177,USD,arn:aws:elastic-load-balancing:us-east-1:444455556666:resource/res-00004-10,Amazon Elastic Load Balancing,production
USE1-BoxUsage:t3.medium,2026-06-05T01:00:00Z,2026-06-05T02:00:00Z,987654321098,765432109876,AWS,47.602338,54.312217,USD,arn:aws:ec2:us-east-1:765432109876:resource/res-00005-01,Amazon Elastic Compute Cloud,production
USE1-LCUUsage,2026-06-05T03:00:00Z,2026-06-05T04:00:00Z,987654321098,876543210987,AWS,11.668451,14.382721,USD,arn:aws:elastic-load-balancing:us-east-1:876543210987:resource/res-00005-02,Amazon Elastic Load Balancing,staging
USE1-ReadRequestUnits,2026-06-05T06:00:00Z,2026-06-05T07:00:00Z,111122223333,444455556666,AWS,14.992512,17.682913,USD,arn:aws:dynamodb:us-east-1:444455556666:resource/res-00005-03,Amazon DynamoDB,development
USE1-DataTransfer-Out-Bytes,2026-06-05T09:00:00Z,2026-06-05T10:00:00Z,123456789012,234567890123,AWS,11.075303,13.330512,USD,arn:aws:cloudfront:us-east-1:234567890123:resource/res-00005-04,Amazon CloudFront,qa
USE1-Request,2026-06-05T13:00:00Z,2026-06-05T14:00:00Z,123456789012,345678901234,AWS,17.018891,19.191329,USD,arn:aws:lambda:us-east-1:345678901234:resource/res-00005-05,AWS Lambda,production
USE1-DataTransfer-Out-Bytes,2026-06-05T16:00:00Z,2026-06-05T17:00:00Z,987654321098,765432109876,AWS,11.020169,12.359999,USD,arn:aws:cloudfront:us-east-1:765432109876:resource/res-00005-06,Amazon CloudFront,staging
USE1-TimedStorage-ByteHrs,2026-06-05T19:00:00Z,2026-06-05T20:00:00Z,987654321098,876543210987,AWS,26.542609,30.888412,USD,arn:aws:s3:us-east-1:876543210987:resource/res-00005-07,Amazon Simple Storage Service,development
USE1-InstanceUsage:db.t3.medium,2026-06-05T21:00:00Z,2026-06-05T22:00:00Z,111122223333,444455556666,AWS,21.07143,23.818216,USD,arn:aws:rds:us-east-1:444455556666:resource/res-00005-08,Amazon Relational Database Service,qa
USE1-ReadRequestUnits,2026-06-05T22:00:00Z,2026-06-05T23:00:00Z,123456789012,234567890123,AWS,14.828408,16.905221,USD,arn:aws:dynamodb:us-east-1:234567890123:resource/res-00005-09,Amazon DynamoDB,production
Support Fee,2026-06-05T23:00:00Z,2026-06-06T00:00:00Z,123456789012,345678901234,AWS,10.470577,12.597491,USD,arn:aws:support:us-east-1:345678901234:resource/res-00005-10,AWS Support (Business),staging
USE1-LCUUsage,2026-06-06T01:00:00Z,2026-06-06T02:00:00Z,111122223333,444455556666,AWS,8.865726,10.53262,USD,arn:aws:elastic-load-balancing:us-east-1:444455556666:resource/res-00006-01,Amazon Elastic Load Balancing,staging
Support Fee,2026-06-06T03:00:00Z,2026-06-06T04:00:00Z,123456789012,234567890123,AWS,8.377405,10.588301,USD,arn:aws:support:us-east-1:234567890123:resource/res-00006-02,AWS Support (Business),development
USE1-BoxUsage:t3.medium,2026-06-06T06:00:00Z,2026-06-06T07:00:00Z,123456789012,345678901234,AWS,44.41595,52.674506,USD,arn:aws:ec2:us-east-1:345678901234:resource/res-00006-03,Amazon Elastic Compute Cloud,qa
USE1-TimedStorage-ByteHrs,2026-06-06T09:00:00Z,2026-06-06T10:00:00Z,987654321098,765432109876,AWS,23.690754,27.575764,USD,arn:aws:s3:us-east-1:765432109876:resource/res-00006-04,Amazon Simple Storage Service,production
USE1-DataTransfer-Out-Bytes,2026-06-06T13:00:00Z,2026-06-06T14:00:00Z,987654321098,876543210987,AWS,10.577369,12.486725,USD,arn:aws:cloudfront:us-east-1:876543210987:resource/res-00006-05,Amazon CloudFront,staging
USE1-ReadRequestUnits,2026-06-06T16:00:00Z,2026-06-06T17:00:00Z,111122223333,444455556666,AWS,10.601726,13.191313,USD,arn:aws:dynamodb:us-east-1:444455556666:resource/res-00006-06,Amazon DynamoDB,development
USE1-DataTransfer-Out-Bytes,2026-06-06T19:00:00Z,2026-06-06T20:00:00Z,123456789012,234567890123,AWS,12.470477,14.162159,USD,arn:aws:cloudfront:us-east-1:234567890123:resource/res-00006-07,Amazon CloudFront,qa
USE1-LCUUsage,2026-06-06T21:00:00Z,2026-06-06T22:00:00Z,123456789012,345678901234,AWS,11.171098,12.635594,USD,arn:aws:elastic-load-balancing:us-east-1:345678901234:resource/res-00006-08,Amazon Elastic Load Balancing,production
USE1-Request,2026-06-06T22:00:00Z,2026-06-06T23:00:00Z,987654321098,765432109876,AWS,16.261113,18.804317,USD,arn:aws:lambda:us-east-1:765432109876:resource/res-00006-09,AWS Lambda,staging
USE1-InstanceUsage:db.t3.medium,2026-06-06T23:00:00Z,2026-06-07T00:00:00Z,987654321098,876543210987,AWS,22.883185,28.083923,USD,arn:aws:rds:us-east-1:876543210987:resource/res-00006-10,Amazon Relational Database Service,development
USE1-LCUUsage,2026-06-07T01:00:00Z,2026-06-07T02:00:00Z,123456789012,345678901234,AWS,11.869133,14.731253,USD,arn:aws:elastic-load-balancing:us-east-1:345678901234:resource/res-00007-01,Amazon Elastic Load Balancing,development
USE1-TimedStorage-ByteHrs,2026-06-07T03:00:00Z,2026-06-07T04:00:00Z,987654321098,765432109876,AWS,23.585696,29.874003,USD,arn:aws:s3:us-east-1:765432109876:resource/res-00007-02,Amazon Simple Storage Service,qa
USE1-BoxUsage:t3.medium,2026-06-07T06:00:00Z,2026-06-07T07:00:00Z,987654321098,876543210987,AWS,42.302401,50.446579,USD,arn:aws:ec2:us-east-1:876543210987:resource/res-00007-03,Amazon Elastic Compute Cloud,production
USE1-DataTransfer-Out-Bytes,2026-06-07T09:00:00Z,2026-06-07T10:00:00Z,111122223333,444455556666,AWS,9.505489,12.011069,USD,arn:aws:cloudfront:us-east-1:444455556666:resource/res-00007-04,Amazon CloudFront,staging
Support Fee,2026-06-07T13:00:00Z,2026-06-07T14:00:00Z,123456789012,234567890123,AWS,8.844564,9.923995,USD,arn:aws:support:us-east-1:234567890123:resource/res-00007-05,AWS Support (Business),development
USE1-InstanceUsage:db.t3.medium,2026-06-07T16:00:00Z,2026-06-07T17:00:00Z,123456789012,345678901234,AWS,21.635041,27.557645,USD,arn:aws:rds:us-east-1:345678901234:resource/res-00007-06,Amazon Relational Database Service,qa
Support Fee,2026-06-07T19:00:00Z,2026-06-07T20:00:00Z,987654321098,765432109876,AWS,10.462202,12.878253,USD,arn:aws:support:us-east-1:765432109876:resource/res-00007-07,AWS Support (Business),production
USE1-LCUUsage,2026-06-07T21:00:00Z,2026-06-07T22:00:00Z,987654321098,876543210987,AWS,11.958764,15.020433,USD,arn:aws:elastic-load-balancing:us-east-1:876543210987:resource/res-00007-08,Amazon Elastic Load Balancing,staging
USE1-Request,2026-06-07T22:00:00Z,2026-06-07T23:00:00Z,111122223333,444455556666,AWS,16.303965,18.939,USD,arn:aws:lambda:us-east-1:444455556666:resource/res-00007-09,AWS Lambda,development
USE1-ReadRequestUnits,2026-06-07T23:00:00Z,2026-06-08T00:00:00Z,123456789012,234567890123,AWS,15.281856,18.588038,USD,arn:aws:dynamodb:us-east-1:234567890123:resource/res-00007-10,Amazon DynamoDB,qa
USE1-LCUUsage,2026-06-08T01:00:00Z,2026-06-08T02:00:00Z,987654321098,876543210987,AWS,9.450517,11.766818,USD,arn:aws:elastic-load-balancing:us-east-1:876543210987:resource/res-00008-01,Amazon Elastic Load Balancing,qa
USE1-InstanceUsage:db.t3.medium,2026-06-08T03:00:00Z,2026-06-08T04:00:00Z,111122223333,444455556666,AWS,22.373416,25.53525,USD,arn:aws:rds:us-east-1:444455556666:resource/res-00008-02,Amazon Relational Database Service,production
Support Fee,2026-06-08T06:00:00Z,2026-06-08T07:00:00Z,123456789012,234567890123,AWS,9.649938,12.088382,USD,arn:aws:support:us-east-1:234567890123:resource/res-00008-03,AWS Support (Business),staging
Support Fee,2026-06-08T09:00:00Z,2026-06-08T10:00:00Z,123456789012,345678901234,AWS,8.955584,10.395396,USD,arn:aws:support:us-east-1:345678901234:resource/res-00008-04,AWS Support (Business),development
USE1-Request,2026-06-08T13:00:00Z,2026-06-08T14:00:00Z,987654321098,765432109876,AWS,16.845243,21.393901,USD,arn:aws:lambda:us-east-1:765432109876:resource/res-00008-05,AWS Lambda,qa
USE1-TimedStorage-ByteHrs,2026-06-08T16:00:00Z,2026-06-08T17:00:00Z,987654321098,876543210987,AWS,29.111664,33.076161,USD,arn:aws:s3:us-east-1:876543210987:resource/res-00008-06,Amazon Simple Storage Service,production
USE1-ReadRequestUnits,2026-06-08T19:00:00Z,2026-06-08T20:00:00Z,111122223333,444455556666,AWS,12.573054,14.442945,USD,arn:aws:dynamodb:us-east-1:444455556666:resource/res-00008-07,Amazon DynamoDB,staging
USE1-BoxUsage:t3.medium,2026-06-08T21:00:00Z,2026-06-08T22:00:00Z,123456789012,234567890123,AWS,40.141217,48.932315,USD,arn:aws:ec2:us-east-1:234567890123:resource/res-00008-08,Amazon Elastic Compute Cloud,development
USE1-BoxUsage:t3.medium,2026-06-08T22:00:00Z,2026-06-08T23:00:00Z,123456789012,345678901234,AWS,40.910133,48.72945,USD,arn:aws:ec2:us-east-1:345678901234:resource/res-00008-09,Amazon Elastic Compute Cloud,qa
USE1-DataTransfer-Out-Bytes,2026-06-08T23:00:00Z,2026-06-09T00:00:00Z,987654321098,765432109876,AWS Marketplace,12.108459,14.568188,USD,arn:aws:cloudfront:us-east-1:765432109876:resource/res-00008-10,Amazon CloudFront,production
USE1-Request,2026-06-09T01:00:00Z,2026-06-09T02:00:00Z,123456789012,234567890123,AWS,15.005602,17.396881,USD,arn:aws:lambda:us-east-1:234567890123:resource/res-00009-01,AWS Lambda,production
USE1-TimedStorage-ByteHrs,2026-06-09T03:00:00Z,2026-06-09T04:00:00Z,123456789012,345678901234,AWS,25.137326,30.580721,USD,arn:aws:s3:us-east-1:345678901234:resource/res-00009-02,Amazon Simple Storage Service,staging
USE1-DataTransfer-Out-Bytes,2026-06-09T06:00:00Z,2026-06-09T07:00:00Z,987654321098,765432109876,AWS,12.718818,14.717953,USD,arn:aws:cloudfront:us-east-1:765432109876:resource/res-00009-03,Amazon CloudFront,development
USE1-LCUUsage,2026-06-09T09:00:00Z,2026-06-09T10:00:00Z,987654321098,876543210987,AWS,13.024823,14.577689,USD,arn:aws:elastic-load-balancing:us-east-1:876543210987:resource/res-00009-04,Amazon Elastic Load Balancing,qa
USE1-BoxUsage:t3.medium,2026-06-09T13:00:00Z,2026-06-09T14:00:00Z,111122223333,444455556666,AWS,44.086809,53.423297,USD,arn:aws:ec2:us-east-1:444455556666:resource/res-00009-05,Amazon Elastic Compute Cloud,production
Support Fee,2026-06-09T16:00:00Z,2026-06-09T17:00:00Z,123456789012,234567890123,AWS,8.189111,9.300111,USD,arn:aws:support:us-east-1:234567890123:resource/res-00009-06,AWS Support (Business),staging
USE1-ReadRequestUnits,2026-06-09T19:00:00Z,2026-06-09T20:00:00Z,123456789012,345678901234,AWS,12.437375,15.78323,USD,arn:aws:dynamodb:us-east-1:345678901234:resource/res-00009-07,Amazon DynamoDB,development
USE1-TimedStorage-ByteHrs,2026-06-09T21:00:00Z,2026-06-09T22:00:00Z,987654321098,765432109876,AWS,25.152249,31.76862,USD,arn:aws:s3:us-east-1:765432109876:resource/res-00009-08,Amazon Simple Storage Service,qa
USE1-BoxUsage:t3.medium,2026-06-09T22:00:00Z,2026-06-09T23:00:00Z,987654321098,876543210987,AWS,49.049069,58.121926,USD,arn:aws:ec2:us-east-1:876543210987:resource/res-00009-09,Amazon Elastic Compute Cloud,production
USE1-InstanceUsage:db.t3.medium,2026-06-09T23:00:00Z,2026-06-10T00:00:00Z,111122223333,444455556666,AWS,26.713355,29.871912,USD,arn:aws:rds:us-east-1:444455556666:resource/res-00009-10,Amazon Relational Database Service,staging
USE1-ReadRequestUnits,2026-06-10T01:00:00Z,2026-06-10T02:00:00Z,987654321098,765432109876,AWS,16.193923,19.541501,USD,arn:aws:dynamodb:us-east-1:765432109876:resource/res-00010-01,Amazon DynamoDB,staging
USE1-TimedStorage-ByteHrs,2026-06-10T03:00:00Z,2026-06-10T04:00:00Z,987654321098,876543210987,AWS,26.971937,31.570467,USD,arn:aws:s3:us-east-1:876543210987:resource/res-00010-02,Amazon Simple Storage Service,development
USE1-DataTransfer-Out-Bytes,2026-06-10T06:00:00Z,2026-06-10T07:00:00Z,111122223333,444455556666,AWS,10.754532,13.06392,USD,arn:aws:cloudfront:us-east-1:444455556666:resource/res-00010-03,Amazon CloudFront,qa
USE1-InstanceUsage:db.t3.medium,2026-06-10T09:00:00Z,2026-06-10T10:00:00Z,123456789012,234567890123,AWS,27.532137,32.566597,USD,arn:aws:rds:us-east-1:234567890123:resource/res-00010-04,Amazon Relational Database Service,production
USE1-LCUUsage,2026-06-10T13:00:00Z,2026-06-10T14:00:00Z,123456789012,345678901234,AWS,10.614079,12.203629,USD,arn:aws:elastic-load-balancing:us-east-1:345678901234:resource/res-00010-05,Amazon Elastic Load Balancing,staging
USE1-Request,2026-06-10T16:00:00Z,2026-06-10T17:00:00Z,987654321098,765432109876,AWS,16.797787,20.872541,USD,arn:aws:lambda:us-east-1:765432109876:resource/res-00010-06,AWS Lambda,development
USE1-TimedStorage-ByteHrs,2026-06-10T19:00:00Z,2026-06-10T20:00:00Z,987654321098,876543210987,AWS,24.854954,27.964468,USD,arn:aws:s3:us-east-1:876543210987:resource/res-00010-07,Amazon Simple Storage Service,qa
Support Fee,2026-06-10T21:00:00Z,2026-06-10T22:00:00Z,111122223333,444455556666,AWS,10.466879,11.895729,USD,arn:aws:support:us-east-1:444455556666:resource/res-00010-08,AWS Support (Business),production
USE1-InstanceUsage:db.t3.medium,2026-06-10T22:00:00Z,2026-06-10T23:00:00Z,123456789012,234567890123,AWS,27.673914,32.123165,USD,arn:aws:rds:us-east-1:234567890123:resource/res-00010-09,Amazon Relational Database Service,staging
USE1-BoxUsage:t3.medium,2026-06-10T23:00:00Z,2026-06-11T00:00:00Z,123456789012,345678901234,AWS,38.446009,48.476664,USD,arn:aws:ec2:us-east-1:345678901234:resource/res-00010-10,Amazon Elastic Compute Cloud,development
USE1-InstanceUsage:db.t3.medium,2026-06-11T01:00:00Z,2026-06-11T02:00:00Z,111122223333,444455556666,AWS,21.592587,25.713476,USD,arn:aws:rds:us-east-1:444455556666:resource/res-00011-01,Amazon Relational Database Service,development
USE1-DataTransfer-Out-Bytes,2026-06-11T03:00:00Z,2026-06-11T04:00:00Z,123456789012,234567890123,AWS,11.672872,14.574565,USD,arn:aws:cloudfront:us-east-1:234567890123:resource/res-00011-02,Amazon CloudFront,qa
USE1-InstanceUsage:db.t3.medium,2026-06-11T06:00:00Z,2026-06-11T07:00:00Z,123456789012,345678901234,AWS,20.141209,22.994142,USD,arn:aws:rds:us-east-1:345678901234:resource/res-00011-03,Amazon Relational Database Service,production
USE1-BoxUsage:t3.medium,2026-06-11T09:00:00Z,2026-06-11T10:00:00Z,987654321098,765432109876,AWS,41.815557,48.156738,USD,arn:aws:ec2:us-east-1:765432109876:resource/res-00011-04,Amazon Elastic Compute Cloud,staging
USE1-TimedStorage-ByteHrs,2026-06-11T13:00:00Z,2026-06-11T14:00:00Z,987654321098,876543210987,AWS,27.175314,31.985008,USD,arn:aws:s3:us-east-1:876543210987:resource/res-00011-05,Amazon Simple Storage Service,development
USE1-Request,2026-06-11T16:00:00Z,2026-06-11T17:00:00Z,111122223333,444455556666,AWS,13.130142,15.367593,USD,arn:aws:lambda:us-east-1:444455556666:resource/res-00011-06,AWS Lambda,qa
USE1-LCUUsage,2026-06-11T19:00:00Z,2026-06-11T20:00:00Z,123456789012,234567890123,AWS,11.459797,12.95081,USD,arn:aws:elastic-load-balancing:us-east-1:234567890123:resource/res-00011-07,Amazon Elastic Load Balancing,production
USE1-Request,2026-06-11T21:00:00Z,2026-06-11T22:00:00Z,123456789012,345678901234,AWS,18.295372,20.546437,USD,arn:aws:lambda:us-east-1:345678901234:resource/res-00011-08,AWS Lambda,staging
USE1-ReadRequestUnits,2026-06-11T22:00:00Z,2026-06-11T23:00:00Z,987654321098,765432109876,AWS,16.848919,19.034934,USD,arn:aws:dynamodb:us-east-1:765432109876:resource/res-00011-09,Amazon DynamoDB,development
Support Fee,2026-06-11T23:00:00Z,2026-06-12T00:00:00Z,987654321098,876543210987,AWS,9.834186,12.367947,USD,arn:aws:support:us-east-1:876543210987:resource/res-00011-10,AWS Support (Business),qa
USE1-Request,2026-06-12T01:00:00Z,2026-06-12T02:00:00Z,123456789012,345678901234,AWS,14.383062,17.150218,USD,arn:aws:lambda:us-east-1:345678901234:resource/res-00012-01,AWS Lambda,qa
USE1-Request,2026-06-12T03:00:00Z,2026-06-12T04:00:00Z,987654321098,765432109876,AWS,16.136533,19.109766,USD,arn:aws:lambda:us-east-1:765432109876:resource/res-00012-02,AWS Lambda,production
USE1-InstanceUsage:db.t3.medium,2026-06-12T06:00:00Z,2026-06-12T07:00:00Z,987654321098,876543210987,AWS,20.075137,24.34502,USD,arn:aws:rds:us-east-1:876543210987:resource/res-00012-03,Amazon Relational Database Service,staging
USE1-ReadRequestUnits,2026-06-12T09:00:00Z,2026-06-12T10:00:00Z,111122223333,444455556666,AWS,12.289955,13.956294,USD,arn:aws:dynamodb:us-east-1:444455556666:resource/res-00012-04,Amazon DynamoDB,development
Support Fee,2026-06-12T13:00:00Z,2026-06-12T14:00:00Z,123456789012,234567890123,AWS,8.561259,10.077329,USD,arn:aws:support:us-east-1:234567890123:resource/res-00012-05,AWS Support (Business),qa
USE1-ReadRequestUnits,2026-06-12T16:00:00Z,2026-06-12T17:00:00Z,123456789012,345678901234,AWS,11.774885,13.770374,USD,arn:aws:dynamodb:us-east-1:345678901234:resource/res-00012-06,Amazon DynamoDB,production
USE1-LCUUsage,2026-06-12T19:00:00Z,2026-06-12T20:00:00Z,987654321098,765432109876,AWS,9.69703,11.281239,USD,arn:aws:elastic-load-balancing:us-east-1:765432109876:resource/res-00012-07,Amazon Elastic Load Balancing,staging
